Date,ABI.BR,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CA.PA,CS.PA,DAI.DE,DBK.DE,DG.PA,DPW.DE,DTE.DE,EI.PA,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,FP.PA,G.MI,GLE.PA,IBE.MC,INGA.AS,ISP.MI,ITX.MC,MC.PA,MUV2.DE,NOKIA.PA,OR.PA,ORA.PA,PHIA.AS,REP.MC,RWE.DE,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SU.PA,TEF.MC,UCG.MI,UL.AS,UN,VIV.PA,VOW3.DE
2/25/2010,-2.07995678,-1.657791501,-1.391245334,0.1218299191,-2.670730186,1.131479551,-1.239998,-2.025113185,-0.373074432,-1.516210613,-2.627606706,-1.01995858,-3.355704698,-1.922766198,-2.019648574,-1.358414351,-3.605470369,-1.260504202,-0.9995411177,-2.071563089,-2.675638976,-2.437574316,-2.39849668,-3.230046811,-2.090806452,-1.118292688,-1.474576271,-5.99112426,-0.8619876953,-0.0348958931,-2.46505092,-1.32625997,-2.773497689,-0.6445646137,0.9795251398,-1.889400835,-1.445777108,-2.558958137,-1.187159859,-1.854599475,-1.207954091,-3.337864371,-2.882957705,-2.320883005,-0.58784226,-3.429959981,-1.425665959,-0.9813542689,-2.021546939,-1.751475275
2/26/2010,1.406891034,5.611059147,4.301445286,3.188127282,1.259784344,0.3040252801,-1.437835127,1.747372343,1.395744681,0.9519403433,3.145026331,1.209671446,2.673611111,1.021416804,2.269633801,1.82733855,2.708512468,0.5319148936,1.6406516,2.115384615,0.878990055,0.9750152346,1.219096591,1.322784028,1.647352144,1.533050979,1.737484948,3.304484658,-0.1934939719,-79.84175053,3.699838361,1.83692118,3.803486529,0.6487462022,1.263962375,0.8454579218,1.68092288,0.9564903579,3.355312485,1.511721523,1.408444513,7.875,1.07517979,1.278406475,2.041469785,1.475425258,-0.1377389836,-0.5946481665,1.788085634,-1.287491406
3/1/2010,2.570740075,1.436474555,1.385681293,1.650936262,3.109752988,2.097473225,3.78056313,0.345499945,2.215880477,0.9429545764,2.202141875,3.644683703,0.1690902942,2.234178082,2.069354897,3.042907593,1.130179992,1.301587302,2.065698253,0.8788449466,0.7415684368,1.629450815,1.662985578,0.927284041,0,2.165841477,0.6932702063,5.864432597,1.452361226,411.5446894,2.688442279,0.7919058374,1.984732824,2.052098213,0.7837503628,3.679557694,1.232341449,1.043606527,1.141554239,2.047652605,2.090970824,1.607766512,2.825887299,2.295045263,1.304421779,0,2.413793103,0.7311365902,1.675672505,0.8360987368
3/2/2010,-0.2784882494,0.04499881889,0.5206638464,1.102094006,3.985349784,0.08312314452,1.207683675,1.617498352,2.939727377,0.7726882712,0.7366519473,1.879271124,2.363268062,1.30802365,1.113505926,0.7824356583,3.228476821,-0.3447195237,-0.5529750178,0.4978220286,0.7545086492,0.6532125891,0.4514833593,0.6044487281,0.3601380552,1.804961754,0.7556675063,-0.1294964029,-0.09554686288,-0.6093432496,1.68828607,1.178523758,-0.8982035928,2.693988072,-0.08641704571,0.6513971249,1.187654394,0.3019717448,0.4348355898,0.3101094491,1.270740021,1.240190984,1.76008581,0.6356649315,0.8586159182,0.3767931946,2.255896296,0.8578060329,0.7976674869,0.6633388778
3/3/2010,0.6648936524,-0.07860118024,0.2589834898,0.8032082432,0.9733858258,0.3203678291,2.093114282,1.838124871,0.9891512444,-0.2403296004,0.2742175453,0.4052543434,0.2308707124,0.6140828409,1.807399156,0.5885324318,2.365677626,0.2096436059,-0.9452824943,0.3095975232,0.1643835616,0.8849498003,0.2994881252,0.3604830483,1.076561069,1.999050452,0.6833333333,2.276329059,1.719036097,-0.01135558557,1.576030983,0.5608291534,0.1510574018,-1.255177639,0.5477198356,1.093501402,0.6455339997,0.2851686126,2.432965728,0.2727714031,-0.7381163489,1.802320575,1.957130838,1.040381497,0.3122718013,4.238255797,0.29634309,1.014062807,1.028427547,2.322784782
3/4/2010,-3.513865443,-0.5621884436,1.033257992,-1.001704064,-0.7178673778,-1.241873389,-0.996361391,1.441900983,-0.2843633491,-0.6883079199,-0.1458486835,-0.807240106,-0.3948667325,-0.1251987441,1.428766643,2.626664941,0.1958480219,0.1150627615,0.6736252386,-0.5555555556,-2.680528811,-0.05847953216,-0.746705978,-0.5028711927,0.946739645,0.04666355467,0.4800529714,0.5916326243,1.972050563,0.7834699671,-0.497451143,-0.8151050841,-2.262443439,-0.8897890146,0.05733944625,-0.8829977925,0.0583090379,-0.6002545479,1.097091393,-0.5984729887,0.6543753913,-0.5394190573,-1.116112449,-0.355481727,-0.05665873143,0.617603095,0.7550846864,-0.3885978105,0.1564376305,-1.143044995
3/5/2010,-0.4655038335,1.763929597,1.981463726,1.195815785,1.73572422,3.233528144,1.219278158,3.976376812,2.550706671,2.079244542,3.669890451,1.024279558,3.171456888,3.368853024,2.514987916,1.649687005,1.720093823,1.138856964,1.962754588,1.365611421,2.435825461,1.755406671,1.053183855,2.069797884,1.524038776,4.827425261,1.878088962,4.117070438,4.511675191,2.534925585,3.523388798,0.3460224973,2.62345679,1.590352679,1.547266387,3.942084457,3.001159674,0.1270905336,3.483715017,1.733254849,0.7092257683,1.446241054,1.520061546,1.451595522,1.839695723,2.813338856,1.466275688,1.170354356,0.860175312,3.257257864
3/8/2010,-1.375515894,-1.377756056,-0.4700720777,0.1931575913,2.011104966,0.3016287843,-0.8795392138,1.433916453,-1.158665153,-0.13579495,0.7573089249,0.1944444444,-0.2241434518,0.07578292934,0.1963285366,-0.7517971002,-1.575710992,0.6921487603,0.4046855518,0.9185548071,0.4938723429,0.9200690581,-0.03737035717,-0.3536948833,1.03926097,-1.43492989,0.5821474774,-1.84263618,0.3525162497,0.4285243286,-1.230308138,1.551726724,-0.7518796992,-0.2272440377,0.2821727022,-0.578521559,1.216407424,0.9682899756,0.3376667229,-0.01793041671,-0.3374471633,-0.4797779564,-0.5782368016,-0.2061331343,0.3890656801,0.6218950233,-0.1284502273,-0.2570694005,-0.4651336659,1.940146809
3/9/2010,1.9944241,0.2364795164,-2.802267003,-0.3288738943,-0.2588131314,0.1156581078,1.022374614,-0.9427576397,0.4376398875,0.4079320113,-0.5069061442,0.3881314111,0.8664955071,-0.7421963491,0.4309917198,-0.1683299307,2.225693089,0.3180465784,0.5555489954,0.2427184466,1.528940718,0.7977322392,0.07434038964,0.6270800107,0.2285771429,-1.489673852,-0.5305466238,0.2192381474,-0.9655447062,-79.9912477,-0.2444703086,-1.27334462,0.7575757576,0.2657206158,-0.1688238604,0.452581877,-0.8384516958,1.367689366,-0.9591115598,0.7533596413,0.08832327396,-0.3167989068,-0.02985253843,0.4495674144,-0.6362220953,-1.310269312,-0.6752430868,-0.1610856907,0.8568247786,-1.562798498
3/10/2010,1.381104919,0.3935026956,-1.036605118,0.6599180869,1.017954836,1.744457064,0.4391808371,1.332026066,0.4201618294,-0.1128518226,0.9662737515,0.6351836685,2.608972319,1.068222221,1.521191942,1.168254876,-0.6875477464,0.3374923297,0.6066558467,0.6658595642,0.7171065155,1.017523967,1.376780708,0.9523762045,1.710370484,2.646348952,0.9051236464,0.7793273175,0.9749583651,406.7804024,0.8519033527,1.375751469,0,0.0378584058,0.3664036077,2.917833083,0.9019165727,0.03096038389,1.452099698,-0.07120705256,0.05883218293,-0.2901727155,1.088761006,2.903111235,0.6684721956,2.079181956,-0.4532191736,0.0645369474,0.386197741,0.2043023643
3/11/2010,-0.121386566,-0.4814577715,-2.782324059,-0.4295297793,-0.8695258903,0.4655433178,-1.368815641,-0.7505937314,1.317216839,-0.1920754674,-0.9918200628,1.468164146,-0.4341085271,0.2264743937,0.3267358978,0.5595261905,-1,0.9581082458,-0.1938193132,0.2405291642,0.8187967248,-0.447677647,0.128348821,-0.01164919637,-0.6165919283,-1.785712093,0.2723049816,-0.1628001628,-1.404736053,-79.95252482,-0.7637074928,-0.8057718269,2.255639098,-0.1766115874,-0.3369783769,-0.9589409648,-0.5586648045,0.01555862269,-1.431315569,-0.8551558729,-0.9260561789,-0.346452309,-0.8261196449,-0.258612907,-0.8028935972,-1.104307585,-1.398370081,-0.5804579168,0.05087170791,7.733460193
